surah,arabic,latin,english,localtion,sajda,ayah,types
97,سورة القدر,Al-Qadr,The Power,1,0,5,Makiyah
98,سورة البينة,Al-Bayyina,The Clear proof,2,0,8,Madaniyah
99,سورة الزلزلة,Al-Zalzala,The earthquake,2,0,8,Madaniyah
100,سورة العاديات,Al-Adiyat,The Chargers,1,0,11,Makiyah
101,سورة القارعة,Al-Qaria,The Calamity,1,0,11,Makiyah
102,سورة التكاثر,At-Takathur,Competition,1,0,8,Makiyah
103,سورة العصر,Al-Asr,The declining day,1,0,3,Makiyah
104,سورة الهمزة,Al-Humaza,The Traducer,1,0,9,Makiyah
105,سورة الفيل,Al-fil,The Elephant,1,0,5,Makiyah
106,سورة قريش,Quraish,Quraish,1,0,4,Makiyah
107,سورة الماعون,Al-Maun,Alms Giving,1,0,7,Makiyah
108,سورة الكوثر,Al-Kauther,Abundance,1,0,3,Makiyah
109,سورة الكافرون,Al-Kafiroon,The Disbelievers,1,0,6,Makiyah
110,سورة النصر,An-Nasr,The Succour,2,0,3,Madaniyah
111,سورة المسد,Al-Masadd,The Flame,1,0,5,Makiyah
112,سورة الإخلاص,Al-Ikhlas,Absoluteness,1,0,4,Makiyah
113,سورة الفلق,Al-Falaq,The day break,1,0,5,Makiyah
114,سورة الناس,An-Nas,The mankind,1,0,6,Makiyah
